country_code,country,media_type,tmdb_id,title,original_title,original_language,release_date,genre_ids,genres,popularity,vote_average,vote_count,overview,poster_path,only_abroad
KR,대한민국,tv,120089,스파이 패밀리,SPY×FAMILY,ja,2022-04-09,"16,10759,35","애니메이션, Action & Adventure, 코미디",67.3412,8.508,2316,"사람은 누구나 아무에게도 보여줄 수 없는 자신을 갖고 있다. 세계 각국이 물밑에서 치열하게 정보전을 펼치는 시대. 오스타니아와 웨스탈리스는 십수 년간에 걸쳐 냉전 상태에 있었다. 웨스탈리스의 정보국 대동과 'WISE' 소속의 수완가 스파이인 '황혼' 은 동서 평화를 위협하는 위험인물, 오스타니아의 국가통일당 총재 도노반 데스몬드의 동향을 살피기 위해 어떤 극비 임무를 수행하게 된다. 그 이름은 오퍼레이션 '올빼미'. 임무 내용은 ""일주일 이내에 가족을 만들어, 데스몬드의 아들이 다니는 명문 학교의 친목회에 잠입하라"". '황혼' 은 정신과 의사 로이드 포저로 위장하고 가족을 만들게 된다. 하지만, 그가 만난 딸 아냐는 마음을 읽을 수 있는 초능력자, 아내 요르는 암살자였다! 3명의 이해가 일치하여 서로 정체를 숨기면서 함께 생활하게 되는데. 해프닝 연속인 임시 가족에게, 세계의 평화는 맡겨졌다.",/rikBBQHmCTOiZ7YoJVkYcKdXgNx.jpg,False
KR,대한민국,tv,207333,백년의 고독,Cien años de soledad,es,2024-12-11,"18,10765","드라마, Sci-Fi & Fantasy",73.1753,7.9,222,"시간을 초월한 마콘도 마을. 7대에 걸쳐 이곳에서 살아가는 부엔디아 가문 사람들이 사랑과 망각, 그리고 벗어날 수 없는 과거와 운명 속을 헤쳐 나간다.",/8tMVYuw7GNmrEVGSeoE6o0hk2dn.jpg,False
KR,대한민국,tv,91239,브리저튼,Bridgerton,en,2020-12-25,18,드라마,49.9372,8.06,3366,진실한 애정과 끈끈한 유대로 맺어진 브리저튼 가문의 8남매. 그들이 런던의 상류사회에서 사랑과 행복을 향한 여정을 떠난다.,/a80pxtZrNSyqrME9rmFC6sZevZ7.jpg,False
KR,대한민국,tv,119051,웬즈데이,Wednesday,en,2022-11-23,"10765,9648,35","Sci-Fi & Fantasy, 미스터리, 코미디",60.1321,8.338,10705,"똑똑함은 기본, 비꼬는 것에도 도가 튼 웬즈데이 아담스. 암울함을 풍기는 그녀가 네버모어 아카데미에서 얽히고설킨 미스터리를 파헤치기 시작한다. 새 친구도 사귀고, 앙숙도 만들며.",/oCpvKD0yuRV9OAZ8xklRy9HWc6l.jpg,False
JP,일본,movie,315635,스파이더맨: 홈커밍,Spider-Man: Homecoming,en,2017-07-05,"28,12,878","액션, 모험, SF",215.1899,7.3,23508,"토니 스타크의 제안을 받고 시빌 워에 참여한 피터 파커는 다음 임무가 언제일지 설렘을 안고 하루하루를 보낸다. 토니는 MIT 진학 준비에 전념할 것을 권하지만 친절한 이웃에 머무는 것은 피터의 성에 차지 않는다. 한편 어벤져스 군단과 외계 세력의 전투로 생긴 산업폐기물을 처리하던 아드리안 툼즈는 그 일이 토니 스타크와 정부에 넘어가면서 하루아침에 빈털터리가 된다. 이에 앙심을 품은 아드리안은 외계 첨단무기를 훔쳐서 개조하는 빌런이 되고, 그의 존재를 알게 된 피터는 도움을 빌리지 않고 자기가 일을 해결해보려고 한다.",/hjki9weYYVABvkpZbX5jBOmKXXv.jpg,False
JP,일본,movie,1630409,채권추심원,คนเดือดทวงแค้น,th,2026-07-20,"28,53,80","액션, 스릴러, 범죄",139.9791,7.706,68,"감옥에서 출소한 후 죄책감에 시달리던 한 전직 채권 추심원이 불치병과 사투를 벌이며, 사채 피해자들을 위해 복수하기 위해 과거의 세계로 돌아온다.",/2h4ikWt6TddvIAhMdS3WGVXhaRf.jpg,False
JP,일본,movie,1510795,"Shake, Rattle & Roll: Evil Origins","Shake, Rattle & Roll: Evil Origins",tl,2026-06-05,27,공포,132.5101,3.0,4,,/3OdniYj4P7XbGb8qe2e16JK0hwO.jpg,False
JP,일본,movie,429617,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,en,2019-06-28,"28,12,878","액션, 모험, SF",122.0066,7.394,17280,"어벤져스 멤버들과 타노스와의 대접전을 마친 뒤, 지난 5년 동안 사라졌던 사람들이 동시에 돌아왔다. 아이언맨이 떠난 채 한동안 지구를 구할 히어로가 공석인 상황을 수습할 히어로는 현재 스파이더맨 피터 파커뿐이다. 친구들과의 유럽 현장학습 도중 닉 퓨리의 부름을 받게 된 피터는 미스테리오라는 정체 모를 히어로와 힘을 합쳐 엘리멘탈이라는 괴생명체를 무찔러야 하는 상황에 처한다. 그런데 피터는 지구를 구하는 일보다 MJ에게 멋지게 고백할 계획이 우선인데...",/3YewJtji80oIroeXUavNRZkeXfQ.jpg,False
JP,일본,movie,1668364,당신의 욕망,Deseo,es,2026-05-07,"9648,18","미스터리, 드라마",98.92,6.745,194,"모든 걸 다 가진 것처럼 보이는 여자. 격정적인 로맨스에 휘말리면서 걷잡을 수 없는 파국으로 치닫는다. 이를 계기로 가족을 향한 사랑이 시험대에 오르고, 결국 그녀는 가족을 지키기 위해 자신이 어떤 일까지 할 수 있는지 깨닫게 된다. 완벽해 보이는 삶을 사는 성공한 변호사 루세로. 딸의 젊은 수영 코치와 격정적인 불륜에 빠져든다. 금지된 욕망으로 시작된 관계는 이내 아슬아슬하게 유지해 온 결혼 생활과 커리어를 위협하는 불씨가 된다. 결국 루세로의 세상이 무너지면서 걷잡을 수 없는 파국이 시작되고, 가족을 향한 사랑이 시험대에 오르는데. 이제 루세로는 가족을 지키기 위해 어디까지 갈 수 있는지 자신의 한계를 마주하게 된다.",/iHcyv2w6KBlnCtcpAmgsLpA85ny.jpg,False
JP,일본,movie,102382,어메이징 스파이더맨 2,The Amazing Spider-Man 2,en,2014-04-16,"28,12,878","액션, 모험, SF",97.3268,6.551,14488,"스파이더맨의 삶에 완전히 적응한 피터 파커는 거미줄로 뉴욕을 활강하며 위험에 처한 시민들을 구해주고 사랑하는 연인 그웬과 데이트를 즐기며 행복하게 살아간다. 그러던 어느 날, 스파이더맨의 열렬한 팬이자 오스코프사의 전기 엔지니어인 맥스는 작업 중 치명적인 사고로 자신에게 엄청난 능력이 생긴 것을 발견한다. 하지만 이 능력으로 인해 뉴욕을 마비시킨 대규모 정전사태가 발생하고 사태를 해결하기 위해 나선 자신의 영웅 스파이더맨에게 공격을 당하자 배신감을 느끼고 분노하는데...",/eYaFLrKuEdzrGw6XG5ZTVciH28v.jpg,True
